name,first_name,start_date_written,end_date_written,gender,place_of_birth,place_of_death,xml_id
Kabas,Hilmar,1942-01-06,,male,http://www.wikidata.org/entity/Q1741,,PAD_00751
Kaipel,Erwin,1952-01-19,,male,http://www.wikidata.org/entity/Q650587,,PAD_00755
Kaiser,Richard,1935-04-03,2019-06-28,male,http://www.wikidata.org/entity/Q686420,http://www.wikidata.org/entity/Q82500,PAD_00757
Kampichler,Franz Josef,1947-06-27,,male,http://www.wikidata.org/entity/Q1741,,PAD_00761
Karas,Othmar,1957-12-24,,male,http://www.wikidata.org/entity/Q278447,,PAD_00772
Karlsson,Irmtraud,1944-05-04,,female,http://www.wikidata.org/entity/Q769162,,PAD_00777
Langthaler,Monika,1965-09-11,,female,http://www.wikidata.org/entity/Q665268,,PAD_00785
Keppelmüller,Peter,1944-06-07,,male,http://www.wikidata.org/entity/Q41329,,PAD_00794
Khol,Andreas,1941-07-14,,male,http://www.wikidata.org/entity/Q492538,,PAD_00799
Kiermaier,Günter,1942-11-10,,male,http://www.wikidata.org/entity/Q251231,,PAD_00800
Kiss,Paul,1947-09-30,,male,http://www.wikidata.org/entity/Q252982,,PAD_00807
Leikam,Anton,1943-05-17,,male,http://www.wikidata.org/entity/Q1879721,,PAD_00836
Leiner,Günther,1939-08-10,,male,http://www.wikidata.org/entity/Q384648,,PAD_00840
König,Friedrich,1933-03-19,2022-04-08,male,http://www.wikidata.org/entity/Q1741,,PAD_00861
Liechtenstein,Vincenz,1950-07-30,2008-01-14,male,http://www.wikidata.org/entity/Q13298,http://www.wikidata.org/entity/Q41358,PAD_00879
Konrad,Helga,1948-01-10,2024-10-12,female,http://www.wikidata.org/entity/Q13298,,PAD_00911
Löschnak,Franz,1940-03-04,,male,http://www.wikidata.org/entity/Q1741,,PAD_00913
Koppler,Erhard,1939-11-21,,male,http://www.wikidata.org/entity/Q41329,,PAD_00922
Korosec,Ingrid,1940-11-22,,female,http://www.wikidata.org/entity/Q682753,,PAD_00926
Kostelka,Peter,1946-05-01,,male,http://www.wikidata.org/entity/Q535737,,PAD_00930
Lukesch,Dieter,1943-05-03,,male,http://www.wikidata.org/entity/Q41329,,PAD_00943
